id	review	label
7898805	음악이 주가 된, 최고의 음악영화	1
6315043	진정한 쓰레기	0
6097171		0
8932678	갈수록 개판되가는 중국영화 유치하고 내용없음 폼잡다 끝남 말도안되는 무기에 유치한cg남무 아 그립다 동사서독같은 영화가 이건 3류아류작이다	0
6242223	이별의 아픔뒤에 찾아오는 새로운 인연의 기쁨 But, 모든 사람이 그렇지는 않네..	1
7462111	괜찮네요오랜만포켓몬스터잼밌어요	1
8425305		0
6900881	청춘은 아름답다 그 아름다움은 이성을 흔들어 놓는다. 찰나의 아름다움을 잘 포착한 섬세하고 아름다운 수채화같은 퀴어영화이다.	1
9629375	눈에 보이는 반전이었지만 영화의 흡인력은 사라지지 않았다.	1
9305768	'13일의 금요일', '나이트메어'시리즈와 함께 가장 많은 시리즈를 양산해냈던 헬레이저 시리즈의 첫편. 작가의 상상력이 돋보이는 작품이며, 갈고리로 사지찢는 고어씬은 지금보더라도 상당히 잔인하고 충격적이다.	1
6829990	나름 교훈돋기는 하지만 어쩔수없이 저평점 받을수밖에 없는 저질섹스코미디	0
1418173	너무너무 재밌다	1
9567197	안보면 후회ㅠㅠ...	1
5732088	후..	1
9451021	사람의 인생을 한 그림에서 알 수없다는 것. 겉 으로만 알고 있는 것과 진정으로 느끼고 알고 있는 것은 분명히 느낌이 다르니까. 밴 애플렉과 션. 윌은 복 받은 사람	1
7937787	스토리. 캐릭터. 표현력. 영상미.	1
9055317	티비드라마보다 못한영화.그 시대엔 티비드라마가 한국영화보다 더 재미있었다.	0
685384	힐러리를 사랑하는 남자아이밖에 생각이 안나요..ㅋ	1
8439973	스토리도 정말 별거없구 엄청 지루함.	0
8209873	쓰레기 드라마. 오정.세만 빛났다.	0
8617274	와 포스터도 같넼ㅋㅋㅋ	0
9369854	이건 클래식을 위한 드라마도, 청춘들의 성장 드라마도 아닌 주제를 알 수 없는 드라마가 되어 버렸다. 클래식계의 현실을 고발하기 위한 드라마인가? 심각한 드라마다. 부채도사는 어디로..ㅠㅠ	0
7964604	좋아요..^.^	1
7008210	흑역사네 ㅋㅋㅋㅋㅋ	0
7873269	꽃 빨아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 짱이었어요	1
2076814	별로다.	0
10150712	전라도의 모든것을 보여주는 영화!!	1
9647538	뻔한 스토리, 조잡한 효과...	0
5223886	1억2천만불에 제작했지만 수익은 4백만불만 먹고 망한 전세계 2위로 망한 영화	0
10260076	기분 나빠서 못보겠다. 두치 때문에 저게 두치냐 ,ㅡㅡ	0
7118536	쏘우2까진 바줄만 했다	1
2441126	재밌어요	1
3113926	프랑스영화중에 오랜만에 건진 명품영화 ~^_^	1
3937475	저는 잘 모르겠던데..이해도 안되고..상업영화만 봐서 그런가봐요..모르겠네요	0
1065063	곰연기 너무 잘하던데	1
3878895	죽음에 대해 비극으로 시작해서 가볍게 해피엔딩을 지어주는, 살고 싶게 만드는 영화	1
10206160	헐 왜이리 낮냐 개잼게 봤는데 재방송하면 봤는데도 가끔 또 볼 때 있을 정돈디...	1
6173091	재미없어서 보다 껏다.-_-;;부산 사투리 참말로 어색하더라.	0
3051669	십계를 뛰어넘는 종교영화가 나오길.	1
9369047	...끔찍하다...	0
7669804	글쎄~~~	0
10017727	스포츠영화는 감동적일 수 밖에 없다 인종차별이 없어져야 한디	1
9617423	좋았어요연기, 음악 모두... 춤도 볼만하고보아 연기도 괜찮았어요	1
9126911	이때야구가진짜재밌었지 지금은 팀컬러도없는10노잼야구 결론은 김시진핑4퇴해라 그러므로4점	0
8205919	학교에서보여줘서봤는데 진짜노래갑이네영ㅋ	1
9371278	다들 개성에 맞는 연기 잘보고 있습니다	1
5125513	새신을	0
9220241	근영찡 춤 너무 잘춤 ㅜㅜ	1
8617279	개막장..말그래도 1점도 아까움	0
9564477	잘봤습니다 독립영화 처음으로중간에 안끄고 다봤어요	1
158110	하 웃기시내 그리스가 머가 재밋다고.............	0
9912694	머야 이새낀. 나라팔아먹으넘아녀	0
2328011	'뿌리'를 깨달은 자는 어디로 가야 하나? 여운이 남는 결말.	1
4427174	어린 시절, 명절때 사촌이 밤에 해 주는 무서운 이야기 수준. 그보다 스릴감은 없지만	0
10273285	내용 연기 cg 아무리생각해도 3점이상은 아니다	0
9342442	산만하고 집중이 잘안되는 영화였어요.개인적으로는 졸리고 지루하다가 마지막에 약간의...	0
8767367	아버지랑 같이 보고 싶은 영화입니다.. 좋았어요.	1
9857786	뒤통수 제대로 맞은기분	0
9977293	코난 이즈 뭔들입니다정말 재밌었음여	1
2918301	여름이 다지나서 의식은 못해보겠구나..편의점 남자 멋있다	1
8014258	헉스 영화로도 나오네요... 미드 하고 있는데... 미드 대박 날것 같음..	1
9914288	중국 영화의 고정관념을 단번에 깨트린 명화	1
154008	재미있었어요	1
9681102	이성재 출연 영화도 보면 확 울림이 있는 영화가 없음. 꽃뱀 아줌마 문정희와 이칸희만 기억에 남는 영화	0
9438082	발연기 정말 소름돋는다!	0
7118700	ㄹ	0
10007629	아무것도 남는게 없는 영화. 배우들 연기는 몰입도가 있어서 1점 줄게.	0
6819503	에피만 보였는데 나중에 에밀리만 보여 진짜 개재밌음	1
8699578	밀덕에 의한, 밀덕을 위한, 밀덕의 영화	1
10143973	그래서 2랑 3의 빌런은 누구래니?	1
6205696	역시 박찬욱감독님. 어쩜 이렇게 재밌는 생각을 다하실까.. 이정현 연기도 훌륭하네요	1
3263890	진짜 웃기다 ㅋㅋ	1
6276328	어둡고 묵직한 분위기에 취하는 영화 ㅋ	1
7994562	평점 안 믿고 괴기전식의 요란하게 놀래키는 유치한 설정이 없는 수준높은 호러라고 평점 8점준사람 믿고 영화 받는데 그냥 저님은 나카타 히데오가 과거에 링이라는 대작을 찍었어 그감독을 좋아해서 이 영화를 좋아하는 사람인가보네요 재미없게 봤습니다	0
8775837	최고의영화죠~^^ 시나리오 굿	1
7608012	정말 이상한 영화. 뭐라고 설명할 수 없다. 긴 러닝 타임 내내 먹먹했다. 아이들의 캐스팅도 좋았고, 연기에도 억지스러움이 없었다. 그런 면에서 영화 전체적으로 리얼리티가 있었고, 와닿았다.	1
9323875	넘 잼나게 잘봤어요..짱~싱싱~고구마^^	1
6280089	신세경 예쁨	1
5247955	댓글달려고 로그인했다.. 이 영화를 만든 스탭들에게 경의를 보낸다	1
599230	문화는 권력이다. 권력은 세뇌한다.	1
10250912	최근에 본 영화중 가장...	0
6882326	하하하 처음 이네	1
9230797	라오스편 재미있긴 했으나 나피디가 그리웠다ㅠ	0
8360748	로버트드니로의 소름끼치는 연기력이 압권이었음	1
8696821	진심 OOO기영화 이런걸 왜만드는지모르겠음	0
5168513	막장액션	0
4555228	원작을 잡쳐놓은 졸작중에 졸작	0
